x,y,alpha,beta,eg_p,adf_p,half_life,score
VCR,VIS,38.04801975568549,0.5517338521833977,0.5829766786743553,0.33509121638263073,inf,0.5672271580227946
VDC,XLE,-8.39993922623023,0.42909077469623613,0.5864180040355187,0.3381929324277867,inf,0.5698443745853221
XLY,VIS,19.922397898000142,1.035054610258489,0.5932916724313182,0.3447591355685977,inf,0.5752203231999664
XLK,VHT,97.47979558475333,0.8465133483365288,0.594935727580748,0.3485270917390768,inf,0.5773851277279299
XLP,VDC,-4.46847290060029,2.6908863053237093,0.5975468048760352,0.3547371225909951,inf,0.5809135709868121
XLP,XLE,-8.457097789266705,1.122818133146588,0.6041679248614349,0.3551485845122662,inf,0.5837266037494804
VCR,XOP,96.81142615240184,0.04580511263757675,0.6154063068964856,0.3662177725344628,inf,0.5926496317723793
XLY,XOP,98.62593631874539,0.06164052318127522,0.6244768536216263,0.3753120286221134,inf,0.599915552897496
XLK,XLE,28.68280685753151,0.2416343800041448,0.6279791301244622,0.37876418978476034,inf,0.6026973279636891
XLV,VHT,10.01250121326484,1.7928144767126513,0.6349329261903719,0.3859841597500984,inf,0.6083668343761881
