Date,ticker,side,qty,price,notional,fees,slippage
2017-04-25,PEP,1,569.3114247119173,88.39059448242188,50321.77527592093,0.0,0.0
2017-04-25,KO,-1,-1503.9674899214947,33.27627182006836,-50046.43100317358,0.0,0.0
2017-04-26,PEP,-1,-569.3114247119173,87.74796295166016,-49955.91780357818,0.0,0.0
2017-04-26,KO,1,1503.9674899214947,33.376617431640625,50197.347540734554,0.0,0.0
2017-04-27,PEP,1,565.6710455765001,87.21373748779297,49334.28607335425,0.0,0.0
2017-04-27,KO,-1,-1502.5721712564518,33.19908142089844,-49884.01585431909,0.0,0.0
2017-04-28,KO,1,1502.5721712564518,33.30714416503906,50046.387926414405,0.0,0.0
2017-04-28,PEP,-1,-565.6710455765001,87.7092514038086,-49614.583948324514,0.0,0.0
2017-05-01,KO,-1,-1506.0657662812796,33.361175537109375,-50244.12439934091,0.0,0.0
2017-05-01,PEP,1,573.3041770741489,86.93496704101562,49840.17973841772,0.0,0.0
2017-05-02,KO,1,1506.0657662812796,33.49240493774414,50441.76450716654,0.0,0.0
2017-05-02,PEP,-1,-573.3041770741489,86.9427261352539,-49844.62805955484,0.0,0.0
2017-05-03,PEP,1,575.1425657803513,86.55558776855469,49781.80283183294,0.0,0.0
2017-05-03,KO,-1,-1498.7481464609182,33.43836975097656,-50115.694684950955,0.0,0.0
2017-05-04,PEP,-1,-575.1425657803513,87.46149444580078,-50302.828322541805,0.0,0.0
2017-05-04,KO,1,1498.7481464609182,33.70081329345703,50509.0314577942,0.0,0.0
2017-05-05,KO,-1,-1495.2882084970593,33.723968505859375,-50427.05245053771,0.0,0.0
2017-05-05,PEP,1,577.6634563870965,87.66279602050781,50639.59374576355,0.0,0.0
2017-05-08,PEP,-1,-577.6634563870965,87.66279602050781,-50639.59374576355,0.0,0.0
2017-05-08,KO,1,1495.2882084970593,33.87834930419922,50657.89623791364,0.0,0.0
2017-05-09,KO,-1,-1482.625035405093,33.58502960205078,-49794.00570282164,0.0,0.0
2017-05-09,PEP,1,570.3673881027364,87.27567291259766,49779.19760406707,0.0,0.0
2017-05-10,KO,1,1482.625035405093,33.631351470947266,49862.68366533432,0.0,0.0
2017-05-10,PEP,-1,-570.3673881027364,87.36856079101562,-49832.17782066673,0.0,0.0
2017-05-11,PEP,1,572.8973301652177,87.52342987060547,50141.93929977254,0.0,0.0
2017-05-11,KO,-1,-1488.7585508320315,33.708526611328125,-50183.85722856383,0.0,0.0
2017-05-12,PEP,-1,-572.8973301652177,87.42277526855469,-50084.2745469888,0.0,0.0
2017-05-12,KO,1,1488.7585508320315,33.646785736083984,50091.93997260826,0.0,0.0
2017-05-15,KO,-1,-1483.304226747097,33.754852294921875,-50068.71508228156,0.0,0.0
2017-05-15,PEP,1,571.2756009895858,88.22027587890625,50398.091122189224,0.0,0.0
2017-05-16,PEP,-1,-571.2756009895858,88.10411834716797,-50331.73315843597,0.0,0.0
2017-05-16,KO,1,1483.304226747097,33.84746551513672,50206.0886632789,0.0,0.0
2017-05-17,KO,-1,-1481.2685169865806,33.90922164916992,-50228.66246443518,0.0,0.0
2017-05-17,PEP,1,566.7631335525574,88.06543731689453,49912.243211399466,0.0,0.0
2017-05-18,PEP,-1,-566.7631335525574,88.28997039794922,-50039.500284004236,0.0,0.0
2017-05-18,KO,1,1481.2685169865806,33.808876037597656,50080.02366919542,0.0,0.0
2017-05-19,KO,-1,-1474.5251459118635,33.88607406616211,-49965.8683067879,0.0,0.0
