Date,spread,z,side,entry_flag,exit_flag,w_x,w_y,x,y
2019-05-20,-11.54908800293235,1.0235132825956819,0,0,1,-0.0,0.0,40.31904983520508,107.02852630615234
2019-05-21,-11.716226156715962,0.787257645335036,1,1,0,-1.0,1.0,40.11271286010742,106.25455474853516
2019-05-22,-13.425184123702124,-1.1364087162599223,0,0,1,-0.0,0.0,40.97935485839844,107.09437561035156
2019-05-23,-13.992964384366644,-1.6489624941623522,1,1,0,-1.0,1.0,41.14442443847656,107.0120620727539
2019-05-24,-13.797398622909668,-1.3834835238616936,0,0,1,-0.0,0.0,40.94633865356445,106.62506103515624
2019-05-28,-14.099119663943057,-1.5837467782905181,1,1,0,-1.0,1.0,40.5254020690918,105.08537292480467
2019-05-29,-12.465085977168087,0.06777221566412128,0,0,1,-0.0,0.0,40.12097930908203,105.5300064086914
2019-05-30,-13.656327311223649,-1.1006091568519962,1,1,0,-1.0,1.0,40.64920425415039,105.89226531982422
2019-05-31,-13.867258906295092,-1.285304089893731,0,0,1,-0.0,0.0,40.55015182495117,105.39002227783205
2019-06-03,-15.123666947785054,-2.421163811712855,1,1,0,-1.0,1.0,41.25172805786133,106.19693756103516
2019-06-04,-15.098126365838993,-2.202499582135415,0,0,1,-0.0,0.0,41.26823043823242,106.27101135253906
2019-06-05,-15.081295718885187,-1.9567301555637364,1,1,0,-1.0,1.0,41.91201400756836,108.1811981201172
2019-06-06,-15.304882604539856,-1.9570359795788788,0,0,1,-0.0,0.0,42.42374420166016,109.4626007080078
2019-06-07,-14.28752926643395,-0.9624398547987393,1,1,0,-1.0,1.0,42.498016357421875,110.6983871459961
2019-06-10,-13.920977370715008,-0.6002089094507208,0,0,1,-0.0,0.0,42.4072265625,110.79792785644533
2019-06-11,-14.123070090058022,-0.7479546383358238,1,1,0,-1.0,1.0,42.365962982177734,110.47447967529295
2019-06-12,-14.925322618585326,-1.380356862469372,0,0,1,-0.0,0.0,42.6218147277832,110.4246826171875
2019-06-13,-14.822136660016383,-1.2112759207010246,1,1,0,-1.0,1.0,42.53032684326172,110.25880432128906
2019-06-14,-15.436648144486341,-1.5871387827227106,0,0,1,-0.0,0.0,42.680057525634766,110.08464813232422
2019-06-17,-14.534412688093298,-0.8154181113324905,1,1,0,-1.0,1.0,42.31406021118164,109.91049194335938
2019-06-18,-14.353290750347853,-0.6303526925443594,0,0,1,-0.0,0.0,42.12273788452149,109.52893829345705
2019-06-19,-14.872310070266963,-0.9767023553829489,1,1,0,-1.0,1.0,42.522010803222656,110.18417358398438
2019-06-20,-15.106806117573939,-1.0850550018957683,0,0,1,-0.0,0.0,42.971187591552734,111.27069854736328
2019-06-21,-15.003571693612699,-0.9567607342369577,1,1,0,-1.0,1.0,42.87968063354492,111.10481262207033
2019-06-24,-15.759462878278612,-1.5016110361019035,0,0,1,-0.0,0.0,43.18745803833008,111.25408935546876
